label,feature_type,osm_key,osm_value,node_id,lat,lng,dist_to_route_m,route_position_m,parent_way_ids,parent_way_highways,direction_tag,tags_json,street_view_url
品川→東京,一時停止,highway,stop,9523456780,35.6484018,139.7545873,19.12,2822.6,33847389,tertiary,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6484018,139.7545873"
品川→東京,一時停止,highway,stop,13109512797,35.6486498,139.7541064,13.62,2887.1,462907587,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6486498,139.7541064"
品川→東京,一時停止,highway,stop,9991674504,35.6488030,139.7535131,15.58,2943.3,87510459,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6488030,139.7535131"
品川→東京,一時停止,highway,stop,11295266877,35.6511178,139.7536184,11.54,3233.7,111594585,residential,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6511178,139.7536184"
品川→東京,一時停止,highway,stop,10073004133,35.6609555,139.7554056,13.82,4339.9,600239764,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6609555,139.7554056"
渋谷→六本木,一時停止,highway,stop,12323845982,35.6572863,139.7060461,4.44,282.7,109231692,residential,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6572863,139.7060461"
渋谷→六本木,一時停止,highway,stop,8563870269,35.6572931,139.7069811,13.33,362.8,141293467,tertiary,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6572931,139.7069811"
渋谷→六本木,一時停止,highway,stop,8563870271,35.6574614,139.7077601,11.81,503.0,141293462,residential,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6574614,139.7077601"
渋谷→六本木,一時停止,highway,stop,1509501699,35.6591106,139.7135619,14.99,1096.8,137630411;1328569380,unclassified;unclassified,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6591106,139.7135619"
渋谷→六本木,一時停止,highway,stop,1533906714,35.6591545,139.7145704,9.37,1187.9,139978182,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6591545,139.7145704"
渋谷→六本木,一時停止,highway,stop,8667731925,35.6591762,139.7148882,8.47,1216.7,265033759,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6591762,139.7148882"
渋谷→六本木,一時停止,highway,stop,8667731924,35.6591855,139.7149565,8.78,1222.9,243264888,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6591855,139.7149565"
